,code,name,geographic_level,city_class,income_classification,urban_rural_2015_POPCEN,population_2015_POPCEN,Reg_code,Prov_code,Mun_code,Bgy_code,City_code,Dist_code,SubMun_code,Reg_name,Prov_name,Mun_name,Bgy_name,City_name,Dist_name,SubMun_name
0,12805000,CITY OF BATAC,City,CC,5th,,55201,10000000,12800000,,,12805000,,,REGION I (ILOCOS REGION),ILOCOS NORTE,,,CITY OF BATAC,,
1,12812000,CITY OF LAOAG (Capital),City,CC,3rd,,111125,10000000,12800000,,,12812000,,,REGION I (ILOCOS REGION),ILOCOS NORTE,,,CITY OF LAOAG (Capital),,
2,12906000,CITY OF CANDON,City,CC,4th,,60623,10000000,12900000,,,12906000,,,REGION I (ILOCOS REGION),ILOCOS SUR,,,CITY OF CANDON,,
3,12934000,CITY OF VIGAN (Capital),City,CC,4th,,53879,10000000,12900000,,,12934000,,,REGION I (ILOCOS REGION),ILOCOS SUR,,,CITY OF VIGAN (Capital),,
4,13314000,CITY OF SAN FERNANDO (Capital),City,CC,3rd,,121812,10000000,13300000,,,13314000,,,REGION I (ILOCOS REGION),LA UNION,,,CITY OF SAN FERNANDO (Capital),,
5,15503000,CITY OF ALAMINOS,City,CC,4th,,89708,10000000,15500000,,,15503000,,,REGION I (ILOCOS REGION),PANGASINAN,,,CITY OF ALAMINOS,,
6,15518000,CITY OF DAGUPAN,City,ICC,2nd,,171271,10000000,15500000,,,15518000,,,REGION I (ILOCOS REGION),PANGASINAN,,,CITY OF DAGUPAN,,
7,15532000,CITY OF SAN CARLOS,City,CC,3rd,,188571,10000000,15500000,,,15532000,,,REGION I (ILOCOS REGION),PANGASINAN,,,CITY OF SAN CARLOS,,
8,15546000,CITY OF URDANETA,City,CC,2nd,,132940,10000000,15500000,,,15546000,,,REGION I (ILOCOS REGION),PANGASINAN,,,CITY OF URDANETA,,
9,21529000,TUGUEGARAO CITY (Capital),City,CC,3rd,,153502,20000000,21500000,,,21529000,,,REGION II (CAGAYAN VALLEY),CAGAYAN,,,TUGUEGARAO CITY (Capital),,
10,23108000,CITY OF CAUAYAN,City,CC,3rd,,129523,20000000,23100000,,,23108000,,,REGION II (CAGAYAN VALLEY),ISABELA,,,CITY OF CAUAYAN,,
11,23114000,CITY OF ILAGAN (Capital),City,CC,1st (as Mun),,145568,20000000,23100000,,,23114000,,,REGION II (CAGAYAN VALLEY),ISABELA,,,CITY OF ILAGAN (Capital),,
12,23135000,CITY OF SANTIAGO,City,ICC,1st,,134830,20000000,23100000,,,23135000,,,REGION II (CAGAYAN VALLEY),ISABELA,,,CITY OF SANTIAGO,,
13,30803000,CITY OF BALANGA (Capital),City,CC,4th,,96061,30000000,30800000,,,30803000,,,REGION III (CENTRAL LUZON),BATAAN,,,CITY OF BALANGA (Capital),,
14,31410000,CITY OF MALOLOS (Capital),City,CC,3rd,,252074,30000000,31400000,,,31410000,,,REGION III (CENTRAL LUZON),BULACAN,,,CITY OF MALOLOS (Capital),,
15,31412000,CITY OF MEYCAUAYAN,City,CC,3rd,,209083,30000000,31400000,,,31412000,,,REGION III (CENTRAL LUZON),BULACAN,,,CITY OF MEYCAUAYAN,,
16,31420000,CITY OF SAN JOSE DEL MONTE,City,CC,1st,,574089,30000000,31400000,,,31420000,,,REGION III (CENTRAL LUZON),BULACAN,,,CITY OF SAN JOSE DEL MONTE,,
17,34903000,CITY OF CABANATUAN,City,CC,1st,,302231,30000000,34900000,,,34903000,,,REGION III (CENTRAL LUZON),NUEVA ECIJA,,,CITY OF CABANATUAN,,
18,34908000,CITY OF GAPAN,City,CC,4th,,110303,30000000,34900000,,,34908000,,,REGION III (CENTRAL LUZON),NUEVA ECIJA,,,CITY OF GAPAN,,
19,34917000,SCIENCE CITY OF MUÑOZ,City,CC,4th,,81483,30000000,34900000,,,34917000,,,REGION III (CENTRAL LUZON),NUEVA ECIJA,,,SCIENCE CITY OF MUÑOZ,,
20,34919000,CITY OF PALAYAN (Capital),City,CC,5th,,41041,30000000,34900000,,,34919000,,,REGION III (CENTRAL LUZON),NUEVA ECIJA,,,CITY OF PALAYAN (Capital),,
21,34926000,SAN JOSE CITY,City,CC,3rd,,139738,30000000,34900000,,,34926000,,,REGION III (CENTRAL LUZON),NUEVA ECIJA,,,SAN JOSE CITY,,
22,35401000,CITY OF ANGELES,City,HUC,1st,,411634,30000000,35400000,,,35401000,,,REGION III (CENTRAL LUZON),PAMPANGA,,,CITY OF ANGELES,,
23,35409000,MABALACAT CITY,City,CC,3rd,,250799,30000000,35400000,,,35409000,,,REGION III (CENTRAL LUZON),PAMPANGA,,,MABALACAT CITY,,
24,35416000,CITY OF SAN FERNANDO (Capital),City,CC,1st,,306659,30000000,35400000,,,35416000,,,REGION III (CENTRAL LUZON),PAMPANGA,,,CITY OF SAN FERNANDO (Capital),,
25,36916000,CITY OF TARLAC (Capital),City,CC,1st,,342493,30000000,36900000,,,36916000,,,REGION III (CENTRAL LUZON),TARLAC,,,CITY OF TARLAC (Capital),,
26,37107000,CITY OF OLONGAPO,City,HUC,1st,,233040,30000000,37100000,,,37107000,,,REGION III (CENTRAL LUZON),ZAMBALES,,,CITY OF OLONGAPO,,
27,41005000,BATANGAS CITY (Capital),City,CC,1st,,329874,40000000,41000000,,,41005000,,,REGION IV-A (CALABARZON),BATANGAS,,,BATANGAS CITY (Capital),,
28,41014000,CITY OF LIPA,City,CC,1st,,332386,40000000,41000000,,,41014000,,,REGION IV-A (CALABARZON),BATANGAS,,,CITY OF LIPA,,
29,41028000,CITY OF STO. TOMAS,City,CC,1st (as Mun),,179844,40000000,41000000,,,41028000,,,REGION IV-A (CALABARZON),BATANGAS,,,CITY OF STO. TOMAS,,
30,41031000,CITY OF TANAUAN,City,CC,2nd,,173366,40000000,41000000,,,41031000,,,REGION IV-A (CALABARZON),BATANGAS,,,CITY OF TANAUAN,,
31,42103000,CITY OF BACOOR,City,CC,1st (as Mun),,600609,40000000,42100000,,,42103000,,,REGION IV-A (CALABARZON),CAVITE,,,CITY OF BACOOR,,
32,42105000,CITY OF CAVITE,City,CC,4th,,102806,40000000,42100000,,,42105000,,,REGION IV-A (CALABARZON),CAVITE,,,CITY OF CAVITE,,
33,42106000,CITY OF DASMARIÑAS,City,CC,1st (as Mun),,659019,40000000,42100000,,,42106000,,,REGION IV-A (CALABARZON),CAVITE,,,CITY OF DASMARIÑAS,,
34,42108000,CITY OF GENERAL TRIAS,City,CC,1st (as Mun),,314303,40000000,42100000,,,42108000,,,REGION IV-A (CALABARZON),CAVITE,,,CITY OF GENERAL TRIAS,,
35,42109000,CITY OF IMUS,City,CC,3rd,,403785,40000000,42100000,,,42109000,,,REGION IV-A (CALABARZON),CAVITE,,,CITY OF IMUS,,
36,42119000,CITY OF TAGAYTAY,City,CC,2nd,,71181,40000000,42100000,,,42119000,,,REGION IV-A (CALABARZON),CAVITE,,,CITY OF TAGAYTAY,,
37,42122000,CITY OF TRECE MARTIRES (Capital),City,CC,4th,,155713,40000000,42100000,,,42122000,,,REGION IV-A (CALABARZON),CAVITE,,,CITY OF TRECE MARTIRES (Capital),,
38,43403000,CITY OF BIÑAN,City,CC,1st (as Mun),,333028,40000000,43400000,,,43403000,,,REGION IV-A (CALABARZON),LAGUNA,,,CITY OF BIÑAN,,
39,43404000,CITY OF CABUYAO,City,CC,1st (as Mun),,308745,40000000,43400000,,,43404000,,,REGION IV-A (CALABARZON),LAGUNA,,,CITY OF CABUYAO,,
40,43405000,CITY OF CALAMBA,City,CC,1st,,454486,40000000,43400000,,,43405000,,,REGION IV-A (CALABARZON),LAGUNA,,,CITY OF CALAMBA,,
41,43424000,CITY OF SAN PABLO,City,CC,1st,,266068,40000000,43400000,,,43424000,,,REGION IV-A (CALABARZON),LAGUNA,,,CITY OF SAN PABLO,,
42,43425000,CITY OF SAN PEDRO,City,CC,3rd,,325809,40000000,43400000,,,43425000,,,REGION IV-A (CALABARZON),LAGUNA,,,CITY OF SAN PEDRO,,
43,43428000,CITY OF SANTA ROSA,City,CC,1st,,353767,40000000,43400000,,,43428000,,,REGION IV-A (CALABARZON),LAGUNA,,,CITY OF SANTA ROSA,,
44,45624000,CITY OF LUCENA (Capital),City,HUC,2nd,,266248,40000000,45600000,,,45624000,,,REGION IV-A (CALABARZON),QUEZON,,,CITY OF LUCENA (Capital),,
45,45647000,CITY OF TAYABAS,City,CC,6th,,99779,40000000,45600000,,,45647000,,,REGION IV-A (CALABARZON),QUEZON,,,CITY OF TAYABAS,,
46,45802000,CITY OF ANTIPOLO (Capital),City,CC,1st,,776386,40000000,45800000,,,45802000,,,REGION IV-A (CALABARZON),RIZAL,,,CITY OF ANTIPOLO (Capital),,
47,175205000,CITY OF CALAPAN (Capital),City,CC,3rd,,133893,170000000,175200000,,,175205000,,,MIMAROPA REGION,ORIENTAL MINDORO,,,CITY OF CALAPAN (Capital),,
48,175316000,CITY OF PUERTO PRINCESA (Capital),City,HUC,1st,,255116,170000000,175300000,,,175316000,,,MIMAROPA REGION,PALAWAN,,,CITY OF PUERTO PRINCESA (Capital),,
49,50506000,CITY OF LEGAZPI (Capital),City,CC,2nd,,196639,50000000,50500000,,,50506000,,,REGION V (BICOL REGION),ALBAY,,,CITY OF LEGAZPI (Capital),,
50,50508000,CITY OF LIGAO,City,CC,4th,,111399,50000000,50500000,,,50508000,,,REGION V (BICOL REGION),ALBAY,,,CITY OF LIGAO,,
51,50517000,CITY OF TABACO,City,CC,4th,,133868,50000000,50500000,,,50517000,,,REGION V (BICOL REGION),ALBAY,,,CITY OF TABACO,,
52,51716000,CITY OF IRIGA,City,CC,4th,,111757,50000000,51700000,,,51716000,,,REGION V (BICOL REGION),CAMARINES SUR,,,CITY OF IRIGA,,
53,51724000,CITY OF NAGA,City,ICC,2nd,,196003,50000000,51700000,,,51724000,,,REGION V (BICOL REGION),CAMARINES SUR,,,CITY OF NAGA,,
54,54111000,CITY OF MASBATE (Capital),City,CC,4th,,95389,50000000,54100000,,,54111000,,,REGION V (BICOL REGION),MASBATE,,,CITY OF MASBATE (Capital),,
55,56216000,CITY OF SORSOGON (Capital),City,CC,3rd,,168110,50000000,56200000,,,56216000,,,REGION V (BICOL REGION),SORSOGON,,,CITY OF SORSOGON (Capital),,
56,61914000,CITY OF ROXAS (Capital),City,CC,3rd,,167003,60000000,61900000,,,61914000,,,REGION VI (WESTERN VISAYAS),CAPIZ,,,CITY OF ROXAS (Capital),,
57,63022000,CITY OF ILOILO (Capital),City,HUC,1st,,447992,60000000,63000000,,,63022000,,,REGION VI (WESTERN VISAYAS),ILOILO,,,CITY OF ILOILO (Capital),,
58,63035000,CITY OF PASSI,City,CC,4th,,80544,60000000,63000000,,,63035000,,,REGION VI (WESTERN VISAYAS),ILOILO,,,CITY OF PASSI,,
59,64501000,CITY OF BACOLOD (Capital),City,HUC,1st,,561875,60000000,64500000,,,64501000,,,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,,,CITY OF BACOLOD (Capital),,
60,64502000,CITY OF BAGO,City,CC,2nd,,170981,60000000,64500000,,,64502000,,,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,,,CITY OF BAGO,,
61,64504000,CITY OF CADIZ,City,CC,2nd,,154723,60000000,64500000,,,64504000,,,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,,,CITY OF CADIZ,,
62,64509000,CITY OF ESCALANTE,City,CC,4th,,94070,60000000,64500000,,,64509000,,,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,,,CITY OF ESCALANTE,,
63,64510000,CITY OF HIMAMAYLAN,City,CC,3rd,,106880,60000000,64500000,,,64510000,,,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,,,CITY OF HIMAMAYLAN,,
64,64515000,CITY OF KABANKALAN,City,CC,1st,,181977,60000000,64500000,,,64515000,,,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,,,CITY OF KABANKALAN,,
65,64516000,CITY OF LA CARLOTA,City,CC,4th,,64469,60000000,64500000,,,64516000,,,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,,,CITY OF LA CARLOTA,,
66,64523000,CITY OF SAGAY,City,CC,3rd,,146264,60000000,64500000,,,64523000,,,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,,,CITY OF SAGAY,,
67,64524000,CITY OF SAN CARLOS,City,CC,2nd,,132536,60000000,64500000,,,64524000,,,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,,,CITY OF SAN CARLOS,,
68,64526000,CITY OF SILAY,City,CC,3rd,,126930,60000000,64500000,,,64526000,,,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,,,CITY OF SILAY,,
69,64527000,CITY OF SIPALAY,City,CC,4th,,70070,60000000,64500000,,,64527000,,,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,,,CITY OF SIPALAY,,
70,64528000,CITY OF TALISAY,City,CC,4th,,102214,60000000,64500000,,,64528000,,,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,,,CITY OF TALISAY,,
71,64531000,CITY OF VICTORIAS,City,CC,4th,,87933,60000000,64500000,,,64531000,,,REGION VI (WESTERN VISAYAS),NEGROS OCCIDENTAL,,,CITY OF VICTORIAS,,
72,71242000,CITY OF TAGBILARAN (Capital),City,CC,3rd,,105051,70000000,71200000,,,71242000,,,REGION VII (CENTRAL VISAYAS),BOHOL,,,CITY OF TAGBILARAN (Capital),,
73,72211000,CITY OF BOGO,City,CC,6th,,78120,70000000,72200000,,,72211000,,,REGION VII (CENTRAL VISAYAS),CEBU,,,CITY OF BOGO,,
74,72214000,CITY OF CARCAR,City,CC,5th,,119664,70000000,72200000,,,72214000,,,REGION VII (CENTRAL VISAYAS),CEBU,,,CITY OF CARCAR,,
75,72217000,CITY OF CEBU (Capital),City,HUC,1st,,922611,70000000,72200000,,,72217000,,,REGION VII (CENTRAL VISAYAS),CEBU,,,CITY OF CEBU (Capital),,
76,72223000,DANAO CITY,City,CC,3rd,,136471,70000000,72200000,,,72223000,,,REGION VII (CENTRAL VISAYAS),CEBU,,,DANAO CITY,,
77,72226000,CITY OF LAPU-LAPU (OPON),City,HUC,1st,,408112,70000000,72200000,,,72226000,,,REGION VII (CENTRAL VISAYAS),CEBU,,,CITY OF LAPU-LAPU (OPON),,
78,72230000,CITY OF MANDAUE,City,HUC,1st,,362654,70000000,72200000,,,72230000,,,REGION VII (CENTRAL VISAYAS),CEBU,,,CITY OF MANDAUE,,
79,72234000,CITY OF NAGA,City,CC,5th,,115750,70000000,72200000,,,72234000,,,REGION VII (CENTRAL VISAYAS),CEBU,,,CITY OF NAGA,,
80,72250000,CITY OF TALISAY,City,CC,3rd,,227645,70000000,72200000,,,72250000,,,REGION VII (CENTRAL VISAYAS),CEBU,,,CITY OF TALISAY,,
81,72251000,CITY OF TOLEDO,City,CC,3rd,,170335,70000000,72200000,,,72251000,,,REGION VII (CENTRAL VISAYAS),CEBU,,,CITY OF TOLEDO,,
82,74604000,CITY OF BAIS,City,CC,3rd,,76291,70000000,74600000,,,74604000,,,REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,,,CITY OF BAIS,,
83,74606000,CITY OF BAYAWAN (TULONG),City,CC,2nd,,117900,70000000,74600000,,,74606000,,,REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,,,CITY OF BAYAWAN (TULONG),,
84,74608000,CITY OF CANLAON,City,CC,4th,,54509,70000000,74600000,,,74608000,,,REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,,,CITY OF CANLAON,,
85,74610000,CITY OF DUMAGUETE (Capital),City,CC,3rd,,131377,70000000,74600000,,,74610000,,,REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,,,CITY OF DUMAGUETE (Capital),,
86,74611000,CITY OF GUIHULNGAN,City,CC,5th,,95969,70000000,74600000,,,74611000,,,REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,,,CITY OF GUIHULNGAN,,
87,74621000,CITY OF TANJAY,City,CC,4th,,80532,70000000,74600000,,,74621000,,,REGION VII (CENTRAL VISAYAS),NEGROS ORIENTAL,,,CITY OF TANJAY,,
88,82604000,CITY OF BORONGAN (Capital),City,CC,1st (as Mun),,69297,80000000,82600000,,,82604000,,,REGION VIII (EASTERN VISAYAS),EASTERN SAMAR,,,CITY OF BORONGAN (Capital),,
89,83708000,CITY OF BAYBAY,City,CC,1st (as Mun),,109432,80000000,83700000,,,83708000,,,REGION VIII (EASTERN VISAYAS),LEYTE,,,CITY OF BAYBAY,,
90,83738000,ORMOC CITY,City,ICC,1st,,215031,80000000,83700000,,,83738000,,,REGION VIII (EASTERN VISAYAS),LEYTE,,,ORMOC CITY,,
