,code,name,geographic_level,city_class,income_classification,urban_rural_2015_POPCEN,population_2015_POPCEN,Reg_code,Prov_code,Mun_code,Bgy_code,City_code,Dist_code,SubMun_code,Reg_name,Prov_name,Mun_name,Bgy_name,City_name,Dist_name,SubMun_name
0,12801000,ADAMS,Mun,,5th,,1792,10000000,12800000,12801000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,ADAMS,,,,
1,12802000,BACARRA,Mun,,3rd,,32215,10000000,12800000,12802000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,BACARRA,,,,
2,12803000,BADOC,Mun,,3rd,,31616,10000000,12800000,12803000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,BADOC,,,,
3,12804000,BANGUI,Mun,,4th,,14672,10000000,12800000,12804000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,BANGUI,,,,
4,12806000,BURGOS,Mun,,5th,,9777,10000000,12800000,12806000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,BURGOS,,,,
5,12807000,CARASI,Mun,,5th,,1567,10000000,12800000,12807000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,CARASI,,,,
6,12808000,CURRIMAO,Mun,,4th,,12184,10000000,12800000,12808000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,CURRIMAO,,,,
7,12809000,DINGRAS,Mun,,2nd,,38562,10000000,12800000,12809000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,DINGRAS,,,,
8,12810000,DUMALNEG,Mun,,5th,,2947,10000000,12800000,12810000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,DUMALNEG,,,,
9,12811000,BANNA (ESPIRITU),Mun,,4th,,19438,10000000,12800000,12811000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,BANNA (ESPIRITU),,,,
10,12813000,MARCOS,Mun,,4th,,17777,10000000,12800000,12813000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,MARCOS,,,,
11,12814000,NUEVA ERA,Mun,,3rd,,9506,10000000,12800000,12814000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,NUEVA ERA,,,,
12,12815000,PAGUDPUD,Mun,,4th,,23770,10000000,12800000,12815000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,PAGUDPUD,,,,
13,12816000,PAOAY,Mun,,4th,,24866,10000000,12800000,12816000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,PAOAY,,,,
14,12817000,PASUQUIN,Mun,,3rd,,28980,10000000,12800000,12817000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,PASUQUIN,,,,
15,12818000,PIDDIG,Mun,,3rd,,21497,10000000,12800000,12818000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,PIDDIG,,,,
16,12819000,PINILI,Mun,,3rd,,17300,10000000,12800000,12819000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,PINILI,,,,
17,12820000,SAN NICOLAS,Mun,,2nd,,36736,10000000,12800000,12820000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,SAN NICOLAS,,,,
18,12821000,SARRAT,Mun,,4th,,25212,10000000,12800000,12821000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,SARRAT,,,,
19,12822000,SOLSONA,Mun,,3rd,,24121,10000000,12800000,12822000,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,SOLSONA,,,,
