,code,name,geographic_level,city_class,income_classification,urban_rural_2015_POPCEN,population_2015_POPCEN,Reg_code,Prov_code,Mun_code,Bgy_code,City_code,Dist_code,SubMun_code,Reg_name,Prov_name,Mun_name,Bgy_name,City_name,Dist_name,SubMun_name
0,12800000,ILOCOS NORTE,Prov,,1st,,593081,10000000,12800000,,,,,,REGION I (ILOCOS REGION),ILOCOS NORTE,,,,,
1,12900000,ILOCOS SUR,Prov,,1st,,689668,10000000,12900000,,,,,,REGION I (ILOCOS REGION),ILOCOS SUR,,,,,
2,13300000,LA UNION,Prov,,1st,,786653,10000000,13300000,,,,,,REGION I (ILOCOS REGION),LA UNION,,,,,
3,15500000,PANGASINAN,Prov,,1st,,2956726,10000000,15500000,,,,,,REGION I (ILOCOS REGION),PANGASINAN,,,,,
4,20900000,BATANES,Prov,,5th,,17246,20000000,20900000,,,,,,REGION II (CAGAYAN VALLEY),BATANES,,,,,
5,21500000,CAGAYAN,Prov,,1st,,1199320,20000000,21500000,,,,,,REGION II (CAGAYAN VALLEY),CAGAYAN,,,,,
6,23100000,ISABELA,Prov,,1st,,1593566,20000000,23100000,,,,,,REGION II (CAGAYAN VALLEY),ISABELA,,,,,
7,25000000,NUEVA VIZCAYA,Prov,,2nd,,452287,20000000,25000000,,,,,,REGION II (CAGAYAN VALLEY),NUEVA VIZCAYA,,,,,
8,25700000,QUIRINO,Prov,,3rd,,188991,20000000,25700000,,,,,,REGION II (CAGAYAN VALLEY),QUIRINO,,,,,
9,30800000,BATAAN,Prov,,1st,,760650,30000000,30800000,,,,,,REGION III (CENTRAL LUZON),BATAAN,,,,,
10,31400000,BULACAN,Prov,,1st,,3292071,30000000,31400000,,,,,,REGION III (CENTRAL LUZON),BULACAN,,,,,
11,34900000,NUEVA ECIJA,Prov,,1st,,2151461,30000000,34900000,,,,,,REGION III (CENTRAL LUZON),NUEVA ECIJA,,,,,
12,35400000,PAMPANGA,Prov,,1st,,"(excluding CITY OF ANGELES) 2,198,110",30000000,35400000,,,,,,REGION III (CENTRAL LUZON),PAMPANGA,,,,,
13,36900000,TARLAC,Prov,,1st,,1366027,30000000,36900000,,,,,,REGION III (CENTRAL LUZON),TARLAC,,,,,
14,37100000,ZAMBALES,Prov,,2nd,,"(excluding CITY OF OLONGAPO) 590,848",30000000,37100000,,,,,,REGION III (CENTRAL LUZON),ZAMBALES,,,,,
15,37700000,AURORA,Prov,,3rd,,214336,30000000,37700000,,,,,,REGION III (CENTRAL LUZON),AURORA,,,,,
16,41000000,BATANGAS,Prov,,1st,,2694335,40000000,41000000,,,,,,REGION IV-A (CALABARZON),BATANGAS,,,,,
17,42100000,CAVITE,Prov,,1st,,3678301,40000000,42100000,,,,,,REGION IV-A (CALABARZON),CAVITE,,,,,
18,43400000,LAGUNA,Prov,,1st,,3035081,40000000,43400000,,,,,,REGION IV-A (CALABARZON),LAGUNA,,,,,
19,45600000,QUEZON,Prov,,1st,,"(excluding CITY OF LUCENA) 1,856,582",40000000,45600000,,,,,,REGION IV-A (CALABARZON),QUEZON,,,,,
20,45800000,RIZAL,Prov,,1st,,2884227,40000000,45800000,,,,,,REGION IV-A (CALABARZON),RIZAL,,,,,
21,174000000,MARINDUQUE,Prov,,4th,,234521,170000000,174000000,,,,,,MIMAROPA REGION,MARINDUQUE,,,,,
22,175100000,OCCIDENTAL MINDORO,Prov,,2nd,,487414,170000000,175100000,,,,,,MIMAROPA REGION,OCCIDENTAL MINDORO,,,,,
23,175200000,ORIENTAL MINDORO,Prov,,1st,,844059,170000000,175200000,,,,,,MIMAROPA REGION,ORIENTAL MINDORO,,,,,
24,175300000,PALAWAN,Prov,,1st,,"(excluding CITY OF PUERTO PRINCESA) 849,469",170000000,175300000,,,,,,MIMAROPA REGION,PALAWAN,,,,,
25,175900000,ROMBLON,Prov,,3rd,,292781,170000000,175900000,,,,,,MIMAROPA REGION,ROMBLON,,,,,
26,50500000,ALBAY,Prov,,1st,,1314826,50000000,50500000,,,,,,REGION V (BICOL REGION),ALBAY,,,,,
27,51600000,CAMARINES NORTE,Prov,,2nd,,583313,50000000,51600000,,,,,,REGION V (BICOL REGION),CAMARINES NORTE,,,,,
28,51700000,CAMARINES SUR,Prov,,1st,,1952544,50000000,51700000,,,,,,REGION V (BICOL REGION),CAMARINES SUR,,,,,
