,code,name,geographic_level,city_class,income_classification,urban_rural_2015_POPCEN,population_2015_POPCEN,Reg_code,Prov_code,Mun_code,Bgy_code,City_code,Dist_code,SubMun_code,Reg_name,Prov_name,Mun_name,Bgy_name,City_name,Dist_name,SubMun_name
0,10000000,REGION I (ILOCOS REGION),Reg,,,,5026128,10000000,,,,,,,REGION I (ILOCOS REGION),,,,,,
1,20000000,REGION II (CAGAYAN VALLEY),Reg,,,,3451410,20000000,,,,,,,REGION II (CAGAYAN VALLEY),,,,,,
2,30000000,REGION III (CENTRAL LUZON),Reg,,,,11218177,30000000,,,,,,,REGION III (CENTRAL LUZON),,,,,,
3,40000000,REGION IV-A (CALABARZON),Reg,,,,14414774,40000000,,,,,,,REGION IV-A (CALABARZON),,,,,,
4,170000000,MIMAROPA REGION,Reg,,,,2963360,170000000,,,,,,,MIMAROPA REGION,,,,,,
5,50000000,REGION V (BICOL REGION),Reg,,,,5796989,50000000,,,,,,,REGION V (BICOL REGION),,,,,,
6,60000000,REGION VI (WESTERN VISAYAS),Reg,,,,7536383,60000000,,,,,,,REGION VI (WESTERN VISAYAS),,,,,,
7,70000000,REGION VII (CENTRAL VISAYAS),Reg,,,,7396898,70000000,,,,,,,REGION VII (CENTRAL VISAYAS),,,,,,
8,80000000,REGION VIII (EASTERN VISAYAS),Reg,,,,4440150,80000000,,,,,,,REGION VIII (EASTERN VISAYAS),,,,,,
9,90000000,REGION IX (ZAMBOANGA PENINSULA),Reg,,,,3629783,90000000,,,,,,,REGION IX (ZAMBOANGA PENINSULA),,,,,,
10,100000000,REGION X (NORTHERN MINDANAO),Reg,,,,4689302,100000000,,,,,,,REGION X (NORTHERN MINDANAO),,,,,,
11,110000000,REGION XI (DAVAO REGION),Reg,,,,4893318,110000000,,,,,,,REGION XI (DAVAO REGION),,,,,,
12,120000000,REGION XII (SOCCSKSARGEN),Reg,,,,4545276,120000000,,,,,,,REGION XII (SOCCSKSARGEN),,,,,,
13,130000000,NATIONAL CAPITAL REGION (NCR),Reg,,,,12877253,130000000,,,,,,,NATIONAL CAPITAL REGION (NCR),,,,,,
14,140000000,CORDILLERA ADMINISTRATIVE REGION (CAR),Reg,,,,1722006,140000000,,,,,,,CORDILLERA ADMINISTRATIVE REGION (CAR),,,,,,
15,150000000,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Reg,,,,3781387,150000000,,,,,,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),,,,,,
16,160000000,REGION XIII (Caraga),Reg,,,,2596709,160000000,,,,,,,REGION XIII (Caraga),,,,,,
